"","vector_index","month_detected_july","st_grp","year_index","month_f","human_equine","indexP_lag1","pred","pred_lwr","pred_upr","year_grp"
"389",0.1629,0,"MA",17,"Aug",NA,1.0815213093878,2.74815947600128,0.726799589148898,10.3912833995678,"2019"
"390",0.1672,0,"MA",17,"Aug",NA,1.0815213093878,2.95536528933227,0.766418577751205,11.3961016172358,"2019"
"391",0.1715,0,"MA",17,"Aug",NA,1.0815213093878,3.17819401299765,0.8078375416889,12.5036491410596,"2019"
"392",0.1758,0,"MA",17,"Aug",NA,1.0815213093878,3.41782358367492,0.851132290384084,13.7246796780005,"2019"
"393",0.1801,0,"MA",17,"Aug",NA,1.0815213093878,3.67552075214771,0.896382119876643,15.0710868723347,"2019"
"394",0.1844,0,"MA",17,"Aug",NA,1.0815213093878,3.95264777971448,0.943669952249155,16.5560262179004,"2019"
"395",0.1887,0,"MA",17,"Aug",NA,1.0815213093878,4.25066963949329,0.99308248045505,18.1940500811482,"2019"
"396",0.193,0,"MA",17,"Aug",NA,1.0815213093878,4.57116176069075,1.04471031899702,20.0012572503947,"2019"
"397",0.1973,0,"MA",17,"Aug",NA,1.0815213093878,4.9158183567736,1.0986481608868,21.9954585800123,"2019"
"398",0.2016,0,"MA",17,"Aug",NA,1.0815213093878,5.28646138156807,1.15499494130404,24.1963604682611,"2019"
"399",0.2059,0,"MA",17,"Aug",NA,1.0815213093878,5.6850501606314,1.21385400836119,26.6257680958928,"2019"
"400",0.2102,0,"MA",17,"Aug",NA,1.0815213093878,6.11369174880994,1.27533330137358,29.3078105615293,"2019"
"401",0.2145,0,"MA",17,"Aug",NA,1.0815213093878,6.57465206873663,1.33954553702861,32.269190281375,"2019"
"402",0.2188,0,"MA",17,"Aug",NA,1.0815213093878,7.07036788914931,1.40660840384609,35.5394592775257,"2019"
"403",0.2231,0,"MA",17,"Aug",NA,1.0815213093878,7.60345970635061,1.4766447653222,39.151325263719,"2019"
"404",0.2274,0,"MA",17,"Aug",NA,1.0815213093878,8.1767455969046,1.54978287215247,43.1409907528783,"2019"
"405",0.2317,0,"MA",17,"Aug",NA,1.0815213093878,8.79325611479945,1.62615658393527,47.5485287605831,"2019"
"406",0.236,0,"MA",17,"Aug",NA,1.0815213093878,9.45625031182685,1.70590560076454,52.4182990664017,"2019"
