node_number,node_height,tips
213,13.807606771838858,KX000107_2009|2009-09-08;KX000064_2009|2009-09-25;KX000067_2009|2009-07-23;KX000226_2009|2009-08-06;KX000151_2009|2009-08-13;KX000128_2009|2009-08-27;KX000228_2010|2010-08-30;KX000202_2009|2009-09-03;KX000177_2009|2009-08-13;KX000217_2009|2009-07-28;KX000216_2006|2006-08-03;KX000131_2008|2008-09-30;KX000173_2008|2008-08-27;KX000105_2008|2008-10-02;KX000213_2008|2008-08-26;KX000180_2008|2008-09-18;KX000159_2008|2008-08-28;KX000117_2008|2008-08-28;KX000125_2008|2008-08-18;KX000168_2009|2009-07-29;KX000059_2009|2009-08-18;KX000227_2009|2009-08-13;KX000205_2010|2010-08-12;KX000138_2011|2011-07-27;KX000062_2011|2011-08-25;KX000049_2011|2011-07-27;KX000200_2011|2011-08-18;KX000220_2011|2011-08-24;KX000110_2011|2011-08-10;KX000161_2011|2011-07-18;KX000154_2011|2011-08-03;KX000210_2010|2010-09-29;KX000211_2009|2009-09-22;KX000189_2010|2010-09-08;KX000074_2009|2009-08-27;KX000224_2011|2011-08-20;KX000191_2010|2010-09-23;KX000054_2010|2010-08-19;KX000058_2011|2011-08-17;KX000221_2011|2011-07-21;KX000158_2011|2011-08-11;KX000166_2011|2011-08-16;KX000181_2014|2014-08-06;KX000201_2012|2012-08-29;KX000140_2010|2010-08-20;KX000195_2011|2011-08-22;KX000231_2010|2010-08-31;KX000080_2010|2010-08-24;KX000219_2010|2010-08-31;KX000129_2011|2011-08-17;KX000174_2011|2011-08-09;KX000172_2010|2010-09-02;KX000208_2010|2010-09-08;KX000048_2010|2010-06-30;KX000056_2010|2010-08-19;KX000094_2011|2011-09-12;KX000096_2011|2011-09-27;KX000090_2010|2010-09-09;KX000209_2011|2011-09-07;KX000134_2011|2011-08-18;KX000127_2010|2010-08-24;KX000164_2009|2009-09-03;KX000063_2009|2009-08-26;KX000183_2009|2009-09-14;KX000070_2008|2008-09-16
282,16.582708389888165,KJ469606_2004|2004;KJ469613_2003|2003;KJ469584_2004|2004
KX000162_2009|2009-09-22,10.068493150688091,KX000162_2009|2009-09-22
KX000071_2013|2013-09-12,6.095890410957747,KX000071_2013|2013-09-12
KX000230_2012|2012-07-23,7.234403772734361,KX000230_2012|2012-07-23
KX000197_2013|2013-08-07,6.194520547943386,KX000197_2013|2013-08-07
KX000184_2014|2014-09-24,5.063013698629379,KX000184_2014|2014-09-24
KX000075_2008|2008-08-05,11.198884647050779,KX000075_2008|2008-08-05
335,12.1316050355999,KX029243_2009|2009-09-14;KX029282_2009|2009-08-17;KX029299_2008|2008-09-16;KX029278_2008|2008-09-05;KX029263_2008|2008-08-14;KX029271_2010|2010-09-01;KX029313_2010|2010-07-12;KX029284_2010|2010-07-20;KX029311_2010|2010-07-27;KX029264_2010|2010-09-08;KX029240_2010|2010-08-30;KX029244_2012|2012-07-25;KX029267_2011|2011-09-26;KX029254_2011|2011-09-14;KX029255_2011|2011-07-19;KX029257_2011|2011-08-17;KX029304_2011|2011-10-20;KX029238_2012|2012-07-09;KX029250_2012|2012-07-25;KX029258_2012|2012-08-21;KX029233_2012|2012-08-16;KX029295_2012|2012-08-13;KX029288_2012|2012-07-23;KX029306_2012|2012-08-14;KX029287_2012|2012-09-14;KX029270_2012|2012-09-02;KX029316_2012|2012-08-22;KX029296_2012|2012-08-01;KX029286_2009|2009-09-15;KX029308_2010|2010-08-04;KX029277_2010|2010-07-14;KX029234_2008|2008-09-30
371,21.470589744109958,KJ469608_1998|1998;KJ469612_1998|1998
405,14.648684757492083,KX000222_2005|2005-07-27
KX000179_2009|2009-09-29,10.04931506849247,KX000179_2009|2009-09-29
416,6.841142482124175,KX029319_2013|2013-08-27;KX029274_2014|2014-08-11;KX029232_2014|2014-07-15;KX029260_2014|2014-08-04;KX029279_2013|2013-10-07
PY19-0166_S30_2019|2019-07-23,0.2356164383561625,PY19-0166_S30_2019|2019-07-23
424,16.405725426608942,KX029265_2004|2004-09-24;KX029318_2012|2005-08-17;KX029292_2006|2006-07-31;KX029231_2006|2006-08-02;KX029305_2006|2006-08-14;KX029251_2005|2005-08-08;KX029310_2006|2006-08-14;KX029276_2006|2006-07-17;KX029262_2006|2006-07-26;KX029261_2005|2005-07-25;KX029237_2006|2006-08-02;KX029253_2006|2006-10-02;KX029300_2007|2007-09-26;KX029241_2007|2007-10-05;KX029314_2007|2007-08-13;KX029247_2006|2006-08-11;KX029259_2004|2004-08-04;KX029246_2004|2004-07-28;KX029272_2004|2004-08-18;KX029249_2004|2004-08-18;KX029280_2005|2005-09-05;KX029315_2005|2005-09-27
448,16.88841565243315,KX000100_2004|2004-08-19;KX000152_2004|2004-09-21;KX000192_2004|2004-08-20;KX000136_2005|2005-08-19;KX000098_2005|2005-07-19;KX000052_2005|2005-08-18;KX000141_2004|2004-09-14;KX000061_2004|2004-08-17;KX000214_2004|2004-09-09;KX000186_2006|2006-08-10;KX000188_2006|2006-07-26;KX000097_2006|2006-09-14;KX000085_2006|2006-09-11;KX000057_2006|2006-07-26;KX000087_2007|2007-07-26;KX000147_2006|2006-08-08;KX000176_2006|2006-09-11;KX000175_2006|2006-08-03;KX000150_2006|2006-08-16;KX000229_2006|2006-08-24;KX000055_2006|2006-09-27;KX000112_2006|2006-08-17;KX000190_2006|2006-09-13;KX000068_2006|2006-08-03;KX000198_2006|2006-09-15;KX000081_2006|2006-09-21;KX000132_2006|2006-09-12;KX000156_2007|2007-07-16;KX000115_2007|2007-07-09;KX000185_2007|2007-06-25;KX000215_2007|2007-07-11;KX000106_2007|2007-07-18;KX000196_2007|2007-07-25;KX000171_2007|2007-07-11;KX000088_2006|2006-08-28;KX000187_2006|2006-08-15;KJ469643_2005|2005;KX000104_2006|2006-09-19;KX000207_2006|2006-09-19;KX000170_2005|2005-07-19;KX000199_2005|2005-08-21;KX000077_2005|2005-09-24;KX000165_2005|2005-09-28;KX000193_2003|2003-09-16;KX000119_2003|2003-09-25;KX000203_2004|2004-07-30;KX000130_2004|2004-09-24;KX000124_2004|2004-10-10
KJ469616_1994|1994,25.0706270424488,KJ469616_1994|1994
KJ469610_1990|1990,29.060940711609515,KJ469610_1990|1990
518,48.85607885343838,KX000114_1971|1971-08-28;KX000078_1971|1971-08-24;KX000120_1971|1971-08-23
520,42.538295106978694,KJ469617_1979|1979;KJ469611_1977|1977
319,11.888419551027136,KX029281_2009|2009-10-09;KX029275_2011|2011-09-13;KX029301_2011|2011-09-14;KX029248_2012|2012-08-09;KX029291_2012|2012-09-18;KX029236_2012|2012-09-05;KX029317_2011|2011-09-15;KX029293_2013|2013-09-17;KX029230_2014|2014-09-23;KX029298_2011|2011-09-15;KT153580_2012|2012-08-07;KX000146_2012|2012-08-17;KX000050_2012|2012-09-08;KX000157_2013|2013-08-08;KT153581_2012|2012-09-18
